pickup_location_id,hour,day_of_week,is_weekend,ride_count
86,11,3,0,1
86,11,5,1,1
86,12,1,0,2
86,12,3,0,1
86,12,4,0,1
86,12,5,1,2
86,13,0,0,1
86,13,1,0,3
86,13,3,0,2
86,13,4,0,2
86,13,5,1,3
86,14,1,0,1
86,14,2,0,2
86,15,0,0,2
86,16,0,0,1
86,16,2,0,1
86,16,3,0,1
86,16,6,1,1
86,17,1,0,1
86,17,4,0,2
86,17,6,1,1
86,19,0,0,1
86,20,1,0,1
86,21,1,0,1
87,0,0,0,5
87,0,1,0,2
87,0,2,0,5
87,0,3,0,10
87,0,4,0,20
87,0,5,1,35
87,0,6,1,37
87,1,0,0,17
87,1,1,0,4
87,1,2,0,2
87,1,3,0,4
87,1,4,0,8
87,1,5,1,15
87,1,6,1,21
87,2,0,0,8
87,2,1,0,2
87,2,2,0,1
87,2,4,0,4
87,2,5,1,13
87,2,6,1,13
87,3,0,0,6
87,3,3,0,1
87,3,4,0,1
87,3,5,1,4
87,3,6,1,5
87,4,0,0,1
87,4,1,0,1
87,4,3,0,4
87,4,4,0,4
87,4,5,1,5
87,4,6,1,3
87,5,0,0,1
87,5,1,0,2
87,5,2,0,1
87,5,3,0,2
87,5,4,0,1
87,5,5,1,6
87,5,6,1,2
87,6,0,0,6
87,6,1,0,3
87,6,2,0,2
87,6,3,0,3
87,6,4,0,8
87,6,5,1,1
87,6,6,1,7
87,7,0,0,6
87,7,1,0,11
87,7,2,0,14
87,7,3,0,13
87,7,4,0,10
87,7,5,1,4
87,7,6,1,1
87,8,0,0,11
87,8,1,0,22
87,8,2,0,28
87,8,3,0,28
87,8,4,0,19
87,8,5,1,9
87,8,6,1,8
87,9,0,0,18
87,9,1,0,34
87,9,2,0,36
87,9,3,0,29
87,9,4,0,16
87,9,5,1,12
87,9,6,1,17
87,10,0,0,13
87,10,1,0,18
87,10,2,0,26
87,10,3,0,21
87,10,4,0,30
87,10,5,1,27
87,10,6,1,15
87,11,0,0,23
87,11,1,0,33
87,11,2,0,35
87,11,3,0,47
87,11,4,0,22
87,11,5,1,26
87,11,6,1,21
87,12,0,0,23
87,12,1,0,25
87,12,2,0,32
87,12,3,0,39
87,12,4,0,36
87,12,5,1,29
87,12,6,1,27
87,13,0,0,31
87,13,1,0,26
87,13,2,0,37
87,13,3,0,36
87,13,4,0,33
87,13,5,1,30
87,13,6,1,25
87,14,0,0,28
87,14,1,0,34
87,14,2,0,40
87,14,3,0,37
87,14,4,0,46
87,14,5,1,37
87,14,6,1,22
87,15,0,0,28
87,15,1,0,35
87,15,2,0,33
87,15,3,0,46
87,15,4,0,48
87,15,5,1,41
87,15,6,1,35
87,16,0,0,30
87,16,1,0,33
87,16,2,0,66
87,16,3,0,41
87,16,4,0,36
87,16,5,1,37
87,16,6,1,28
87,17,0,0,49
87,17,1,0,59
87,17,2,0,74
87,17,3,0,76
87,17,4,0,43
87,17,5,1,51
87,17,6,1,40
87,18,0,0,44
87,18,1,0,59
87,18,2,0,60
87,18,3,0,78
87,18,4,0,64
87,18,5,1,43
87,18,6,1,21
87,19,0,0,25
87,19,1,0,47
87,19,2,0,49
87,19,3,0,81
87,19,4,0,69
87,19,5,1,38
87,19,6,1,27
87,20,0,0,31
87,20,1,0,44
87,20,2,0,50
87,20,3,0,49
87,20,4,0,45
87,20,5,1,42
87,20,6,1,15
87,21,0,0,30
87,21,1,0,35
87,21,2,0,39
87,21,3,0,48
87,21,4,0,34
87,21,5,1,42
87,21,6,1,12
87,22,0,0,17
87,22,1,0,24
87,22,2,0,29
87,22,3,0,43
87,22,4,0,39
87,22,5,1,33
87,22,6,1,13
87,23,0,0,10
87,23,1,0,8
87,23,2,0,14
87,23,3,0,34
87,23,4,0,27
87,23,5,1,52
87,23,6,1,11
88,0,0,0,3
88,0,1,0,1
88,0,2,0,5
88,0,3,0,5
88,0,4,0,11
88,0,5,1,17
88,0,6,1,21
88,1,0,0,2
88,1,2,0,2
88,1,3,0,5
88,1,4,0,5
88,1,5,1,14
88,1,6,1,17
88,2,0,0,5
88,2,1,0,1
88,2,3,0,1
88,2,4,0,2
88,2,5,1,7
88,2,6,1,15
88,3,0,0,1
88,3,2,0,1
88,3,5,1,3
88,3,6,1,4
88,4,3,0,1
88,4,5,1,4
88,5,5,1,1
88,5,6,1,1
88,6,0,0,1
88,6,1,0,1
88,6,2,0,1
88,6,3,0,1
88,6,4,0,2
88,6,6,1,1
88,7,0,0,6
88,7,1,0,4
88,7,2,0,6
88,7,3,0,7
88,7,4,0,2
88,7,5,1,2
88,8,0,0,7
88,8,1,0,6
88,8,2,0,8
88,8,3,0,9
88,8,4,0,7
88,8,5,1,2
88,8,6,1,1
88,9,0,0,8
88,9,1,0,8
88,9,2,0,16
88,9,3,0,9
88,9,4,0,10
88,9,5,1,2
88,9,6,1,5
88,10,0,0,3
88,10,1,0,7
88,10,2,0,17
88,10,3,0,17
88,10,4,0,15
88,10,5,1,8
88,10,6,1,10
88,11,0,0,8
88,11,1,0,16
88,11,2,0,12
88,11,3,0,19
88,11,4,0,9
88,11,5,1,10
88,11,6,1,8
88,12,0,0,10
88,12,1,0,9
88,12,2,0,30
88,12,3,0,11
88,12,4,0,10
88,12,5,1,18
88,12,6,1,16
88,13,0,0,23
88,13,1,0,29
88,13,2,0,17
88,13,3,0,25
88,13,4,0,18
88,13,5,1,23
88,13,6,1,18
88,14,0,0,23
88,14,1,0,31
88,14,2,0,20
88,14,3,0,27
88,14,4,0,29
88,14,5,1,22
88,14,6,1,14
88,15,0,0,13
88,15,1,0,24
88,15,2,0,29
88,15,3,0,36
88,15,4,0,39
88,15,5,1,27
88,15,6,1,20
88,16,0,0,30
88,16,1,0,30
88,16,2,0,37
88,16,3,0,32
88,16,4,0,22
88,16,5,1,28
88,16,6,1,26
88,17,0,0,20
88,17,1,0,44
88,17,2,0,50
88,17,3,0,45
88,17,4,0,28
88,17,5,1,20
88,17,6,1,18
88,18,0,0,36
88,18,1,0,31
88,18,2,0,33
88,18,3,0,39
88,18,4,0,36
88,18,5,1,18
88,18,6,1,14
88,19,0,0,13
88,19,1,0,29
88,19,2,0,30
88,19,3,0,30
88,19,4,0,16
88,19,5,1,18
88,19,6,1,7
88,20,0,0,23
88,20,1,0,24
88,20,2,0,27
88,20,3,0,32
88,20,4,0,24
88,20,5,1,16
88,20,6,1,8
88,21,0,0,13
88,21,1,0,22
88,21,2,0,20
88,21,3,0,29
88,21,4,0,20
88,21,5,1,18
88,21,6,1,14
88,22,0,0,6
88,22,1,0,14
88,22,2,0,24
88,22,3,0,19
88,22,4,0,15
88,22,5,1,23
88,22,6,1,6
88,23,0,0,4
88,23,1,0,9
88,23,2,0,13
88,23,3,0,27
88,23,4,0,21
88,23,5,1,20
88,23,6,1,10
89,4,1,0,1
89,4,2,0,3
89,4,4,0,2
89,5,1,0,1
89,5,4,0,1
89,6,0,0,4
89,6,1,0,2
89,6,2,0,5
89,6,3,0,2
89,6,4,0,1
89,7,0,0,2
89,7,1,0,2
89,7,2,0,5
89,7,3,0,3
89,7,4,0,4
89,7,6,1,1
89,8,0,0,1
89,8,1,0,1
89,8,2,0,6
89,8,3,0,8
89,8,4,0,6
89,8,6,1,1
89,9,0,0,6
89,9,1,0,1
89,9,2,0,6
89,9,3,0,3
89,9,4,0,3
89,9,5,1,2
89,9,6,1,1
89,10,0,0,5
89,10,1,0,1
89,10,2,0,5
89,10,3,0,3
89,10,4,0,6
89,10,5,1,1
89,11,0,0,5
89,11,1,0,4
89,11,2,0,2
89,11,3,0,3
89,11,4,0,4
89,11,6,1,1
89,12,0,0,3
89,12,1,0,3
89,12,2,0,2
89,12,3,0,2
89,12,4,0,1
89,13,0,0,4
89,13,1,0,4
89,13,2,0,3
89,13,3,0,3
89,13,4,0,1
89,14,0,0,2
89,14,1,0,1
89,14,2,0,2
89,14,3,0,1
89,14,4,0,2
89,14,5,1,1
89,15,0,0,1
89,15,1,0,1
89,15,2,0,3
89,15,3,0,2
89,15,4,0,2
89,15,5,1,1
89,15,6,1,1
89,16,1,0,1
89,16,2,0,1
89,16,3,0,1
89,16,4,0,1
89,17,0,0,1
89,17,2,0,1
89,17,3,0,1
89,17,4,0,2
89,18,0,0,1
89,18,1,0,1
